DocumentPlenumSessionID,PlenumSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate,Unnamed: 0
128948,110733.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128948.doc,2010-06-03T06:55:32.647,
128949,110732.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128949.doc,2010-06-03T06:55:32.863,
128950,110732.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128950.DOC,2010-06-03T06:55:33.083,
128951,108098.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128951.DOC,2010-06-03T06:55:33.263,
128952,108098.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128952.doc,2010-06-03T06:55:33.463,
128953,108097.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128953.DOC,2010-06-03T06:55:33.68,
128954,108097.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128954.doc,2010-06-03T06:55:33.867,
128955,108096.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128955.DOC,2010-06-03T06:55:34.057,
128956,108096.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128956.doc,2010-06-03T06:55:34.24,
128957,105874.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128957.DOC,2010-06-03T06:55:34.42,
128958,105874.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128958.doc,2010-06-03T06:55:34.63,
128959,105873.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128959.DOC,2010-06-03T06:55:34.833,
128960,105873.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128960.doc,2010-06-03T06:55:35.047,
128961,105013.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128961.DOC,2010-06-03T06:55:35.243,
128962,105013.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128962.doc,2010-06-03T06:55:35.45,
128963,104014.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128963.DOC,2010-06-03T06:55:35.63,
128964,104014.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128964.doc,2010-06-03T06:55:35.837,
128965,104013.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128965.DOC,2010-06-03T06:55:36.047,
128966,104013.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128966.doc,2010-06-03T06:55:36.267,
128967,104012.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128967.DOC,2010-06-03T06:55:36.453,
128968,104012.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128968.doc,2010-06-03T06:55:36.67,
128969,103112.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128969.DOC,2010-06-03T06:55:36.903,
128970,103112.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128970.doc,2010-06-03T06:55:37.107,
128971,102973.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128971.DOC,2010-06-03T06:55:37.303,
128972,102973.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128972.doc,2010-06-03T06:55:37.523,
128973,102925.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128973.DOC,2010-06-03T06:55:37.723,
128974,102925.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128974.doc,2010-06-03T06:55:37.91,
128975,102402.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128975.DOC,2010-06-03T06:55:38.127,
128976,102402.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128976.doc,2010-06-03T06:55:38.367,
128977,102401.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128977.DOC,2010-06-03T06:55:38.577,
128978,102401.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128978.doc,2010-06-03T06:55:38.777,
128979,101591.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128979.DOC,2010-06-03T06:55:38.997,
128980,101591.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128980.doc,2010-06-03T06:55:39.187,
128981,101588.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128981.DOC,2010-06-03T06:55:39.383,
128982,101588.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128982.doc,2010-06-03T06:55:39.58,
128983,101587.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128983.DOC,2010-06-03T06:55:39.773,
128984,101587.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128984.doc,2010-06-03T06:55:39.98,
128985,100991.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128985.DOC,2010-06-03T06:55:40.167,
128908,123514.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128908.DOC,2010-06-03T06:55:22.323,0.0
128909,122922.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128909.doc,2010-06-03T06:55:22.523,1.0
128910,122922.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128910.DOC,2010-06-03T06:55:22.737,2.0
128911,122798.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128911.doc,2010-06-03T06:55:22.917,3.0
128913,122713.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128913.doc,2010-06-03T06:55:23.64,4.0
128916,122672.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128916.doc,2010-06-03T06:55:24.867,5.0
128908,123514.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128908.DOC,2010-06-03T06:55:22.323,0.0
128909,122922.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128909.doc,2010-06-03T06:55:22.523,1.0
128910,122922.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128910.DOC,2010-06-03T06:55:22.737,2.0
128911,122798.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128911.doc,2010-06-03T06:55:22.917,3.0
128913,122713.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128913.doc,2010-06-03T06:55:23.64,4.0
128916,122672.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128916.doc,2010-06-03T06:55:24.867,5.0
