DocumentCommitteeSessionID,CommitteeSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate
308508,543592,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_326999.doc,2016-04-07T23:01:00.45
308436,541940,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_326927.doc,2016-04-07T22:57:04.733
308244,541937,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_326735.doc,2016-04-08T00:16:01.21
308218,541930,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_326709.doc,2016-04-08T00:14:26.343
307247,554138,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_325738.doc,2016-04-07T20:33:43.17
307038,551404,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_325529.doc,2016-04-07T20:13:50.293
261746,547956,23,פרוטוקול ועדה,1,DOC,https://fs.knesset.gov.il//19/Committees/19_ptv_277642.doc,2014-04-10T17:01:51.143
253545,543222,23,פרוטוקול ועדה,1,DOC,https://fs.knesset.gov.il//19/Committees/19_ptv_266769.doc,2014-01-02T16:45:14.07
234333,488102,23,פרוטוקול ועדה,1,DOC,https://fs.knesset.gov.il//19/Committees/19_ptv_245579.doc,2013-09-05T16:39:53.43
204436,470471,23,פרוטוקול ועדה,1,DOC,https://fs.knesset.gov.il//18/Committees/18_ptv_202745.doc,2012-06-19T00:00:53.687
311979,471755,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330470.doc,2016-04-08T10:13:14.42
311981,470973,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330472.doc,2016-04-08T10:13:20.433
311982,471099,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330473.doc,2016-04-08T10:13:23.65
311984,471748,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330475.doc,2016-04-08T10:13:29.637
311985,470481,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330476.doc,2016-04-08T10:13:32.55
311988,471998,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330479.doc,2016-04-08T10:13:41.187
311990,472429,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330481.doc,2016-04-08T10:13:47.73
311991,472435,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330482.doc,2016-04-08T10:13:50.793
311995,471749,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330486.doc,2016-04-08T10:14:03.327
311996,471172,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330487.doc,2016-04-08T10:14:06.227
