doc,error
"{'DocumentBillID': '205572', 'BillID': 147004, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_208021.PDF', 'LastUpdatedDate': '2012-07-02T16:58:18.11'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205572', 'BillID': 147004, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_204047.TIF', 'LastUpdatedDate': '2012-07-02T16:58:18.11'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205573', 'BillID': 147005, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_204048.TIF', 'LastUpdatedDate': '2012-07-02T16:58:20.403'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205573', 'BillID': 147005, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_208022.PDF', 'LastUpdatedDate': '2012-07-02T16:58:20.403'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205574', 'BillID': 147006, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_208023.PDF', 'LastUpdatedDate': '2012-07-02T16:58:22.997'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '268141', 'BillID': 150277, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285477.DOC', 'LastUpdatedDate': '2014-07-07T03:30:01.15'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285477.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A5E710>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268142', 'BillID': 146982, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285478.DOC', 'LastUpdatedDate': '2014-07-07T03:30:06.497'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285478.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A6C6D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268143', 'BillID': 149917, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285479.DOC', 'LastUpdatedDate': '2014-07-07T03:30:11.963'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285479.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A6E6D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268144', 'BillID': 147167, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285480.DOC', 'LastUpdatedDate': '2014-07-07T03:30:17.163'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285480.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A786D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268145', 'BillID': 148355, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285481.DOC', 'LastUpdatedDate': '2014-07-07T03:30:22.72'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285481.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A7A610>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268146', 'BillID': 149239, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285482.DOC', 'LastUpdatedDate': '2014-07-07T03:30:27.53'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285482.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A885D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268147', 'BillID': 148241, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285483.DOC', 'LastUpdatedDate': '2014-07-07T03:30:33.07'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285483.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A8A510>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268148', 'BillID': 148747, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285484.DOC', 'LastUpdatedDate': '2014-07-07T03:30:38.307'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285484.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A8C4D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
